EA_parameter,LA_parameter
IMPC_CSD_007_001,RBRCLA_CSD_007_001
IMPC_CSD_007_001,TCPIP_CSD_007_001
IMPC_CSD_007_001,TCPLA_CSD_007_001
IMPC_CSD_007_001,UCDIP_CSD_007_001
IMPC_CSD_007_001,UCDLA_CSD_007_001
IMPC_CSD_008_001,HRWLIP_CSD_008_001
IMPC_CSD_008_001,HRWLLA_CSD_008_001
IMPC_CSD_008_001,JAXLA_CSD_008_001
IMPC_CSD_008_001,RBRCLA_CSD_008_001
IMPC_CSD_008_001,TCPIP_CSD_008_001
IMPC_CSD_008_001,TCPLA_CSD_008_001
IMPC_CSD_008_001,UCDIP_CSD_008_001
IMPC_CSD_008_001,UCDLA_CSD_008_001
IMPC_CSD_009_001,HRWLIP_CSD_009_001
IMPC_CSD_009_001,HRWLLA_CSD_009_001
IMPC_CSD_009_001,JAXLA_CSD_009_001
IMPC_CSD_009_001,RBRCLA_CSD_009_001
IMPC_CSD_009_001,TCPIP_CSD_009_001
IMPC_CSD_009_001,TCPLA_CSD_009_001
IMPC_CSD_009_001,UCDIP_CSD_009_001
IMPC_CSD_009_001,UCDLA_CSD_009_001
IMPC_CSD_010_001,HRWLIP_CSD_010_001
IMPC_CSD_010_001,HRWLLA_CSD_010_001
IMPC_CSD_010_001,JAXLA_CSD_010_001
IMPC_CSD_010_001,RBRCLA_CSD_010_001
IMPC_CSD_010_001,TCPIP_CSD_010_001
IMPC_CSD_010_001,TCPLA_CSD_010_001
IMPC_CSD_010_001,UCDIP_CSD_010_001
IMPC_CSD_010_001,UCDLA_CSD_010_001
IMPC_CSD_011_001,HRWLIP_CSD_011_001
IMPC_CSD_011_001,HRWLLA_CSD_011_001
IMPC_CSD_011_001,JAXLA_CSD_011_001
IMPC_CSD_011_001,RBRCLA_CSD_011_001
IMPC_CSD_011_001,TCPIP_CSD_011_001
IMPC_CSD_011_001,TCPLA_CSD_011_001
IMPC_CSD_011_001,UCDIP_CSD_011_001
IMPC_CSD_011_001,UCDLA_CSD_011_001
IMPC_CSD_012_001,HRWLIP_CSD_012_001
IMPC_CSD_012_001,HRWLLA_CSD_012_001
IMPC_CSD_012_001,JAXLA_CSD_012_001
IMPC_CSD_012_001,RBRCLA_CSD_012_001
IMPC_CSD_012_001,TCPIP_CSD_012_001
IMPC_CSD_012_001,TCPLA_CSD_012_001
IMPC_CSD_012_001,UCDIP_CSD_012_001
IMPC_CSD_012_001,UCDLA_CSD_012_001
IMPC_CSD_013_001,HRWLIP_CSD_013_001
IMPC_CSD_013_001,HRWLLA_CSD_013_001
IMPC_CSD_013_001,JAXLA_CSD_013_001
IMPC_CSD_013_001,RBRCLA_CSD_013_001
IMPC_CSD_013_001,TCPIP_CSD_013_001
IMPC_CSD_013_001,TCPLA_CSD_013_001
IMPC_CSD_013_001,UCDIP_CSD_013_001
IMPC_CSD_013_001,UCDLA_CSD_013_001
IMPC_CSD_014_001,HRWLIP_CSD_014_001
IMPC_CSD_014_001,HRWLLA_CSD_014_001
IMPC_CSD_014_001,JAXLA_CSD_014_001
IMPC_CSD_014_001,RBRCLA_CSD_014_001
IMPC_CSD_014_001,TCPIP_CSD_014_001
IMPC_CSD_014_001,TCPLA_CSD_014_001
IMPC_CSD_014_001,UCDIP_CSD_014_001
IMPC_CSD_014_001,UCDLA_CSD_014_001
IMPC_CSD_015_001,HRWLIP_CSD_015_001
IMPC_CSD_015_001,HRWLLA_CSD_015_001
IMPC_CSD_015_001,JAXLA_CSD_015_001
IMPC_CSD_015_001,RBRCLA_CSD_015_001
IMPC_CSD_015_001,TCPIP_CSD_015_001
IMPC_CSD_015_001,TCPLA_CSD_015_001
IMPC_CSD_015_001,UCDIP_CSD_015_001
IMPC_CSD_015_001,UCDLA_CSD_015_001
IMPC_CSD_016_001,HRWLIP_CSD_016_001
IMPC_CSD_016_001,HRWLLA_CSD_016_001
IMPC_CSD_016_001,JAXLA_CSD_016_001
IMPC_CSD_016_001,RBRCLA_CSD_016_001
IMPC_CSD_016_001,TCPIP_CSD_016_001
IMPC_CSD_016_001,TCPLA_CSD_016_001
IMPC_CSD_016_001,UCDIP_CSD_016_001
IMPC_CSD_016_001,UCDLA_CSD_016_001
IMPC_CSD_017_001,HRWLIP_CSD_017_001
IMPC_CSD_017_001,HRWLLA_CSD_017_001
IMPC_CSD_017_001,JAXLA_CSD_017_001
IMPC_CSD_017_001,RBRCLA_CSD_017_001
IMPC_CSD_017_001,TCPIP_CSD_017_001
IMPC_CSD_017_001,TCPLA_CSD_017_001
IMPC_CSD_017_001,UCDIP_CSD_017_001
IMPC_CSD_017_001,UCDLA_CSD_017_001
IMPC_CSD_018_001,HRWLIP_CSD_018_001
IMPC_CSD_018_001,HRWLLA_CSD_018_001
IMPC_CSD_018_001,JAXLA_CSD_018_001
IMPC_CSD_018_001,RBRCLA_CSD_018_001
IMPC_CSD_018_001,TCPIP_CSD_018_001
IMPC_CSD_018_001,TCPLA_CSD_018_001
IMPC_CSD_018_001,UCDIP_CSD_018_001
IMPC_CSD_018_001,UCDLA_CSD_018_001
IMPC_CSD_019_001,HRWLIP_CSD_019_001
IMPC_CSD_019_001,HRWLLA_CSD_019_001
IMPC_CSD_019_001,JAXLA_CSD_019_001
IMPC_CSD_019_001,RBRCLA_CSD_019_001
IMPC_CSD_019_001,TCPIP_CSD_019_001
IMPC_CSD_019_001,TCPLA_CSD_019_001
IMPC_CSD_019_001,UCDIP_CSD_019_001
IMPC_CSD_019_001,UCDLA_CSD_019_001
IMPC_CSD_020_001,HRWLIP_CSD_020_001
IMPC_CSD_020_001,HRWLLA_CSD_020_001
IMPC_CSD_020_001,JAXLA_CSD_020_001
IMPC_CSD_020_001,RBRCLA_CSD_020_001
IMPC_CSD_020_001,TCPIP_CSD_020_001
IMPC_CSD_020_001,TCPLA_CSD_020_001
IMPC_CSD_020_001,UCDIP_CSD_020_001
IMPC_CSD_020_001,UCDLA_CSD_020_001
IMPC_CSD_021_001,HRWLIP_CSD_021_001
IMPC_CSD_021_001,HRWLLA_CSD_021_001
IMPC_CSD_021_001,JAXLA_CSD_021_001
IMPC_CSD_021_001,RBRCLA_CSD_021_001
IMPC_CSD_021_001,TCPIP_CSD_021_001
IMPC_CSD_021_001,TCPLA_CSD_021_001
IMPC_CSD_021_001,UCDIP_CSD_021_001
IMPC_CSD_021_001,UCDLA_CSD_021_001
IMPC_CSD_022_001,HRWLIP_CSD_022_001
IMPC_CSD_022_001,HRWLLA_CSD_022_001
IMPC_CSD_022_001,JAXLA_CSD_022_001
IMPC_CSD_022_001,RBRCLA_CSD_022_001
IMPC_CSD_022_001,TCPIP_CSD_022_001
IMPC_CSD_022_001,TCPLA_CSD_022_001
IMPC_CSD_022_001,UCDIP_CSD_022_001
IMPC_CSD_022_001,UCDLA_CSD_022_001
IMPC_CSD_023_001,HRWLIP_CSD_023_001
IMPC_CSD_023_001,HRWLLA_CSD_023_001
IMPC_CSD_023_001,JAXLA_CSD_023_001
IMPC_CSD_023_001,RBRCLA_CSD_023_001
IMPC_CSD_023_001,TCPIP_CSD_023_001
IMPC_CSD_023_001,TCPLA_CSD_023_001
IMPC_CSD_023_001,UCDIP_CSD_023_001
IMPC_CSD_023_001,UCDLA_CSD_023_001
IMPC_CSD_024_001,HRWLIP_CSD_024_001
IMPC_CSD_024_001,HRWLLA_CSD_024_001
IMPC_CSD_024_001,JAXLA_CSD_024_001
IMPC_CSD_024_001,RBRCLA_CSD_024_001
IMPC_CSD_024_001,TCPIP_CSD_024_001
IMPC_CSD_024_001,TCPLA_CSD_024_001
IMPC_CSD_024_001,UCDIP_CSD_024_001
IMPC_CSD_024_001,UCDLA_CSD_024_001
IMPC_CSD_025_001,HRWLIP_CSD_025_001
IMPC_CSD_025_001,HRWLLA_CSD_025_001
IMPC_CSD_025_001,JAXLA_CSD_025_001
IMPC_CSD_025_001,RBRCLA_CSD_025_001
IMPC_CSD_025_001,TCPIP_CSD_025_001
IMPC_CSD_025_001,TCPLA_CSD_025_001
IMPC_CSD_025_001,UCDIP_CSD_025_001
IMPC_CSD_025_001,UCDLA_CSD_025_001
IMPC_CSD_026_001,HRWLIP_CSD_026_001
IMPC_CSD_026_001,HRWLLA_CSD_026_001
IMPC_CSD_026_001,JAXLA_CSD_026_001
IMPC_CSD_026_001,RBRCLA_CSD_026_001
IMPC_CSD_026_001,TCPIP_CSD_026_001
IMPC_CSD_026_001,TCPLA_CSD_026_001
IMPC_CSD_026_001,UCDIP_CSD_026_001
IMPC_CSD_026_001,UCDLA_CSD_026_001
IMPC_CSD_027_001,HRWLIP_CSD_027_001
IMPC_CSD_027_001,HRWLLA_CSD_027_001
IMPC_CSD_027_001,JAXLA_CSD_027_001
IMPC_CSD_027_001,RBRCLA_CSD_027_001
IMPC_CSD_027_001,TCPIP_CSD_027_001
IMPC_CSD_027_001,TCPLA_CSD_027_001
IMPC_CSD_027_001,UCDIP_CSD_027_001
IMPC_CSD_027_001,UCDLA_CSD_027_001
IMPC_CSD_028_001,HRWLIP_CSD_028_001
IMPC_CSD_028_001,HRWLLA_CSD_028_001
IMPC_CSD_028_001,JAXLA_CSD_028_001
IMPC_CSD_028_001,RBRCLA_CSD_028_001
IMPC_CSD_028_001,TCPIP_CSD_028_001
IMPC_CSD_028_001,TCPLA_CSD_028_001
IMPC_CSD_028_001,UCDIP_CSD_028_001
IMPC_CSD_028_001,UCDLA_CSD_028_001
IMPC_CSD_029_001,HRWLIP_CSD_029_001
IMPC_CSD_029_001,HRWLLA_CSD_029_001
IMPC_CSD_029_001,JAXLA_CSD_029_001
IMPC_CSD_029_001,RBRCLA_CSD_029_001
IMPC_CSD_029_001,TCPIP_CSD_029_001
IMPC_CSD_029_001,TCPLA_CSD_029_001
IMPC_CSD_029_001,UCDIP_CSD_029_001
IMPC_CSD_029_001,UCDLA_CSD_029_001
IMPC_CSD_030_001,HRWLIP_CSD_030_001
IMPC_CSD_030_001,HRWLLA_CSD_030_001
IMPC_CSD_030_001,JAXLA_CSD_030_001
IMPC_CSD_030_001,RBRCLA_CSD_030_001
IMPC_CSD_030_001,TCPIP_CSD_030_001
IMPC_CSD_030_001,TCPLA_CSD_030_001
IMPC_CSD_030_001,UCDIP_CSD_030_001
IMPC_CSD_030_001,UCDLA_CSD_030_001
IMPC_CSD_031_001,HRWLIP_CSD_031_001
IMPC_CSD_031_001,HRWLLA_CSD_031_001
IMPC_CSD_031_001,JAXLA_CSD_031_001
IMPC_CSD_031_001,RBRCLA_CSD_031_001
IMPC_CSD_031_001,TCPIP_CSD_031_001
IMPC_CSD_031_001,TCPLA_CSD_031_001
IMPC_CSD_031_001,UCDIP_CSD_031_001
IMPC_CSD_031_001,UCDLA_CSD_031_001
IMPC_CSD_032_001,HRWLIP_CSD_032_001
IMPC_CSD_032_001,HRWLLA_CSD_032_001
IMPC_CSD_032_001,JAXLA_CSD_032_001
IMPC_CSD_032_001,RBRCLA_CSD_032_001
IMPC_CSD_032_001,TCPIP_CSD_032_001
IMPC_CSD_032_001,TCPLA_CSD_032_001
IMPC_CSD_032_001,UCDIP_CSD_032_001
