LA_parameter,EA_parameter
RBRCLA_YMZ_004_001,IMPC_YMZ_004_001
RBRCLA_YMZ_028_001,IMPC_YMZ_028_001
RBRCLA_YMZ_013_001,IMPC_YMZ_013_001
RBRCLA_YMZ_003_001,IMPC_YMZ_003_001
RBRCLA_YMZ_019_001,IMPC_YMZ_019_001
RBRCLA_YMZ_020_001,IMPC_YMZ_020_001
RBRCLA_YMZ_016_001,IMPC_YMZ_016_001
RBRCLA_YMZ_007_001,IMPC_YMZ_007_001
RBRCLA_YMZ_006_001,IMPC_YMZ_006_001
RBRCLA_YMZ_021_001,IMPC_YMZ_021_001
RBRCLA_YMZ_012_001,IMPC_YMZ_012_001
RBRCLA_YMZ_005_001,IMPC_YMZ_005_001
RBRCLA_YMZ_008_001,IMPC_YMZ_008_001
RBRCLA_YMZ_029_001,IMPC_YMZ_029_001
RBRCLA_YMZ_022_001,IMPC_YMZ_022_001
RBRCLA_YMZ_011_001,IMPC_YMZ_011_001
RBRCLA_YMZ_018_001,IMPC_YMZ_018_001
RBRCLA_YMZ_010_001,IMPC_YMZ_010_001
RBRCLA_YMZ_015_001,IMPC_YMZ_015_001
RBRCLA_YMZ_027_001,IMPC_YMZ_027_001
RBRCLA_CAL_024_001,IMPC_CAL_024_001
RBRCLA_CAL_029_001,IMPC_CAL_029_001
RBRCLA_CAL_028_001,IMPC_CAL_028_001
RBRCLA_CAL_004_001,IMPC_CAL_004_001
RBRCLA_CAL_005_001,IMPC_CAL_005_001
RBRCLA_CAL_019_001,IMPC_CAL_019_001
RBRCLA_CAL_006_001,IMPC_CAL_006_001
RBRCLA_CAL_016_001,IMPC_CAL_016_001
RBRCLA_CAL_021_001,IMPC_CAL_021_001
RBRCLA_CAL_002_001,IMPC_CAL_002_001
RBRCLA_CAL_025_001,IMPC_CAL_025_001
RBRCLA_CAL_042_001,IMPC_CAL_042_001
RBRCLA_CAL_013_001,IMPC_CAL_013_001
RBRCLA_CAL_017_001,IMPC_CAL_017_001
RBRCLA_CAL_033_001,IMPC_CAL_033_001
RBRCLA_CAL_003_001,IMPC_CAL_003_001
RBRCLA_CAL_040_001,IMPC_CAL_040_001
